Begin,dissapear,Content,speaker
"01:01:08,400","01:01:11,192",They're made out of the same wood they use for baseball bats.,ABBIE
"01:01:48,317","01:01:50,859",- Hey! - You shut your fuckin' mouth!,KUNSTLER
"01:01:52,692","01:01:54,234",You got this coming!,MRS. DELLINGER
"01:01:57,942","01:01:59,234",What's the matter with you?,JERRY
"01:01:59,317","01:02:00,525","Fuck you, hippie faggot!",FRAT BOY #2
"01:02:03,192","01:02:04,567",You're all right.,ABBIE
"01:02:03,192","01:02:04,567",You're all right.,KUNSTLER
"01:02:04,650","01:02:06,609",You're okay. Here.,JERRY
"01:02:06,692","01:02:09,734","You gotta just hold this over your face, okay?",JERRY
"01:02:20,067","01:02:21,609","Don't move, Jerry.",POLICEMAN
"01:02:30,067","01:02:31,942","After bailing out Tom Hayden,",DEMONSTRATOR
"01:02:32,025","01:02:36,359","Abbie, Dave and Tom returned to the park. Is that correct?",KUNSTLER
"01:02:50,484","01:02:51,484",Get in.,BOBBY
"01:02:57,109","01:02:59,984",I was starting to worry about getting everyone out of Chicago alive.,TOM
"01:03:00,067","01:03:02,484","- That's not really up to us. - Yeah, it is.",ABBIE
"01:03:03,192","01:03:05,692",What are you lookin' at me for? I went to bail you out.,ABBIE
"01:03:06,275","01:03:08,442",800 people followed you?,TOM
"01:03:08,525","01:03:12,442","Oh, that. Yeah, people follow me. Hell if I know why.",ABBIE
"01:03:12,525","01:03:14,234",I'm racking my brain as well.,TOM
"01:03:14,317","01:03:15,984",How'd you make bail so fast?,DAPHNE
"01:03:14,317","01:03:15,984",How'd you make bail so fast?,RENNIE
"01:03:18,609","01:03:20,984",They couldn't figure out what to charge me with.,JERRY
"01:03:21,067","01:03:22,067",Assault.,DAVE
"01:03:23,609","01:03:26,275",I was assaulting someone who was assaulting someone.,JERRY
"01:03:27,525","01:03:30,400",Nothing is more dangerous than a crowd of people moving.,DAPHNE
"01:03:38,942","01:03:41,109",We have to protest in front of the convention.,ABBIE
"01:03:48,192","01:03:49,942",And that's when people'll get hurt.,ABBIE
"01:03:50,025","01:03:54,025","As long as every person following me knows that, then I sleep fine at night.",ABBIE
"01:03:54,109","01:03:55,650",Tell me how you do it.,TOM
"01:03:55,734","01:03:57,525",- A lot of it is drugs. - Yeah?,ABBIE
"01:04:01,650","01:04:04,442",We're not getting anywhere near the convention.,TOM
"01:04:10,942","01:04:15,525","""Fuck 'em all. They're all pigs. We should form an army and get guns.""",KUNSTLER
"01:04:17,067","01:04:20,025","And when he said that, did anyone form an army and get guns?",KUNSTLER
"01:04:21,025","01:04:24,609",Did Jerry Rubin instruct the crowd to run into the park?,KUNSTLER
"01:04:25,192","01:04:26,984",- No. - Did Rennie Davis?,RENNIE
"01:04:27,067","01:04:29,775",- No. - Was Abbie Hoffman even there?,KUNSTLER
"01:04:29,859","01:04:31,734",- No. - Was Dave Dellinger?,KUNSTLER
"01:05:18,400","01:05:20,984",- We will stand in recess until-- - Four hours!,JUDGE HOFFMAN
"01:05:22,150","01:05:24,025",That's how long Bobby Seale was in Chicago.,FRED
"01:05:39,317","01:05:42,234",The court will stand in recess for the weekend.,JUDGE HOFFMAN
"01:05:49,359","01:05:51,067","Yeah, I took in the exhibit.",JERRY
"01:05:51,150","01:05:52,984",I cleared my mind.,JERRY
"01:05:54,442","01:05:57,109",Stood there for 20 minutes. I felt nothing.,JERRY
"01:05:58,942","01:06:03,442","Well, but it wasn't a painting, it was an exhibit.",ABBIE
"01:06:05,692","01:06:08,609",And when you put exhibits of Native Indian families,JERRY
"01:06:08,692","01:06:10,234",in a natural history museum,JERRY
"01:06:13,567","01:06:18,317",it gives the impression that the Cherokee evolved into modern-day Europeans.,JERRY
"01:06:19,400","01:06:20,525",Look who it is.,ABBIE
"01:06:21,109","01:06:23,067",I got a bone to pick with that guy.,JERRY
"01:06:23,150","01:06:24,317","Hey, Counselor.",KUNSTLER
"01:06:23,150","01:06:24,317","Hey, Counselor.",ABBIE
"01:06:25,692","01:06:27,942",- No colleges this weekend? - Winter break.,SCHULTZ
"01:06:28,025","01:06:30,692",- My audience went home to their parents. - Mm-hmm.,ABBIE
"01:06:32,400","01:06:34,775",These are my daughters. This is Emily and Julie.,SCHULTZ
"01:06:36,275","01:06:39,234",That's coming from someone who he's trying hard to put in prison.,ABBIE
"01:06:39,317","01:06:41,275",We shouldn't be talking without your lawyer.,SCHULTZ
"01:06:41,359","01:06:42,609",We're all on the same team.,ABBIE
"01:06:43,234","01:06:46,650","In a sense, I guess, but in a much truer sense, we're not.",SCHULTZ
"01:06:49,234","01:06:52,900","and go over to those musicians and put it in their hat, okay?",SCHULTZ
"01:07:01,942","01:07:06,525","If your lawyer were here, I'd tell you the window's closing for you to plead out.",SCHULTZ
"01:07:10,025","01:07:12,984","I wish I could share Abbie's sentiment that you're a good guy,",JERRY
"01:07:14,817","01:07:16,317",I'm sorry to hear that.,SCHULTZ
"01:07:14,817","01:07:16,317",I'm sorry to hear that.,JUDGE HOFFMAN
"01:07:16,400","01:07:20,317",Sending Daphne O'Connor to break my heart was way out of line.,JERRY
"01:07:20,400","01:07:22,692","Well, I don't work for the FBI,",SCHULTZ
"01:07:22,775","01:07:25,817",but O'Connor was one of many agents sent to gather intelligence,SCHULTZ
"01:07:25,900","01:07:27,859",on what had been deemed a credible threat.,SCHULTZ
"01:07:27,942","01:07:31,984","Fine. Then you bug our phones, you wire up a dope dealer. Be a man.",JERRY
"01:07:32,067","01:07:35,942",- You don't send a woman to ensorcell me. - What?,JERRY
"01:07:37,817","01:07:41,567",- Only to have her crush my soul. - How long did you two know each other?,SCHULTZ
"01:08:04,317","01:08:06,150",We don't have any beef with you.,FRED
"01:08:26,359","01:08:27,650",Does she ever mention me?,JERRY
"01:08:52,025","01:08:53,192",Conspiracy Office.,BERNADINE
"01:09:07,317","01:09:08,650","Something's happened, Tom.",BERNADINE
"01:09:32,859","01:09:35,650",Fred Hampton was shot and killed last night.,KUNSTLER
"01:09:39,067","01:09:43,234","There was a police raid, and there was a shootout.",KUNSTLER
"01:09:51,942","01:09:54,692",- You were told? - Yeah.,KUNSTLER
"01:10:06,567","01:10:09,317","The seven of you, you've all got the same father, right?",BOBBY
"01:10:06,567","01:10:09,317","The seven of you, you've all got the same father, right?",BOBBY
"01:10:20,025","01:10:25,317","don't be a fag, respect authority, respect America, respect me.""",BOBBY
"01:10:27,359","01:10:30,984","Your life, it's a ""fuck you"" to your father, right?",BOBBY
"01:10:39,025","01:10:41,817",And you can see how that's different from a rope on a tree?,BOBBY
"01:10:49,025","01:10:50,900",He was shot in the shoulder first.,BOBBY
"01:10:52,692","01:10:55,150",You can't aim a gun if you've been shot in the shoulder.,BOBBY
"01:10:55,234","01:10:56,775",You can't squeeze the trigger.,BOBBY
"01:10:58,025","01:10:59,817",Second shot was in his head.,BOBBY
"01:11:02,317","01:11:03,942",Fred was executed.,BOBBY
"01:11:27,609","01:11:31,359","Calling your attention to the evening of the next day,",SCHULTZ
"01:11:31,442","01:11:34,859","Tuesday, August 27th, were you in Grant Park?",SCHULTZ
"01:11:34,942","01:11:38,734","Yes. There was a ""Free Huey Newton"" rally going on.",FRAPOLY
"01:11:42,692","01:11:45,192","Phil Ochs sang, and then Bobby Seale gave a speech.",FRAPOLY
"01:11:45,275","01:11:48,942",I object to this testimony against me because I have been denied counsel.,BOBBY
"01:11:50,067","01:11:51,067",We understand.,JUDGE HOFFMAN
"01:11:50,067","01:11:51,067",We understand.,JUDGE HOFFMAN
"01:11:51,567","01:11:54,234",Do you recall any of Mr. Seale's speech?,SCHULTZ
"01:11:54,317","01:11:55,400",Yes. He said--,FRAPOLY
"01:11:55,484","01:11:57,442",- I object to this man's-- - Quiet!,BOBBY
"01:11:58,359","01:11:59,192",Go ahead.,KUNSTLER
"01:11:58,359","01:11:59,192",Go ahead.,SCHULTZ
"01:11:59,275","01:12:01,817",- May I refer to notes? - Yes.,FRAPOLY
"01:12:02,900","01:12:07,109","He said, ""We must understand that as we go forth",FRAPOLY
"01:12:10,150","01:12:13,984","""...our cowardly Congress, the jive, double-lip talking Nixon--""",FRAPOLY
"01:12:16,400","01:12:19,984","You're making me sound like one funky cat. Thank you, sir.",BOBBY
"01:12:20,067","01:12:22,192","Last warning, Mr. Seale.",JUDGE HOFFMAN
"01:12:24,150","01:12:25,775",Did he say anything else?,SCHULTZ
"01:12:28,234","01:12:32,317","is directly connected to organized guns in force.""",FRAPOLY
"01:12:34,525","01:12:35,525",No more questions.,SCHULTZ
"01:12:37,275","01:12:41,150","Jive, double-lip talking. Funky, funky cat.",BOBBY
"01:12:41,234","01:12:43,775",Would the defense like to cross-examine the witness?,JUDGE HOFFMAN
"01:12:43,859","01:12:48,150",Yes. I'm sittin' here saying that I would like to cross-examine a witness.,BOBBY
"01:12:48,234","01:12:51,150",- Only lawyers can address a witness. - My lawyer is Charles Garry.,JUDGE HOFFMAN
"01:12:51,234","01:12:54,734",- I'm tired of hearing that. - Couldn't care less what you're tired of.,BOBBY
"01:12:59,025","01:13:04,109",I said it would be impossible for me to care any less what you are tired of.,BOBBY
"01:13:07,275","01:13:09,400",Sit in your chair and be quiet.,JUDGE HOFFMAN
"01:13:24,025","01:13:27,150","- It was premeditated murder! - Yes, it was!",BOBBY
"01:13:31,067","01:13:33,025",He wouldn't have been able to hold a gun!,BOBBY
"01:13:33,109","01:13:37,859","When they publish the coroner's report, ask about the bullet in his shoulder!",BOBBY
"01:13:41,234","01:13:44,359","I strongly caution you, Mr. Seale.",JUDGE HOFFMAN
"01:13:47,025","01:13:49,609","Oh, strongly fuck yourself!",BOBBY
"01:13:55,109","01:13:57,692",and deal with him as he should be dealt with.,JUDGE HOFFMAN
"01:15:24,359","01:15:29,317","Let the record show that I tried, fairly and impartially.",JUDGE HOFFMAN
"01:15:47,609","01:15:50,650",if I allow you to resume proper order.,JUDGE HOFFMAN
"01:15:51,942","01:15:54,025",Do I have your assurance?,JUDGE HOFFMAN
"01:16:03,400","01:16:05,109","Mr. Schultz, call your next witness.",JUDGE HOFFMAN
"01:16:03,400","01:16:05,109","Mr. Schultz, call your next witness.",JUDGE HOFFMAN
"01:16:27,234","01:16:28,484",Can he breathe?,TOM
"01:16:37,609","01:16:41,150","Your Honor, our defendant is gagged and bound in an American courtroom.",SCHULTZ
"01:16:41,234","01:16:43,109",He brought it on himself.,FORAN
"01:16:43,192","01:16:44,192",Are you insane?,JERRY
"01:16:49,400","01:16:52,192","What do you want, Mr. Schultz? This is your sidebar.",JUDGE HOFFMAN
"01:16:52,275","01:16:55,859",The government would like to make a motion that Bobby Seale be separated--,SCHULTZ
"01:16:58,567","01:17:01,525",A motion that Bobby Seale be separated from the rest of the defendants,SCHULTZ
"01:17:04,400","01:17:06,192",You want me to give him his mistrial?,JUDGE HOFFMAN
"01:17:06,275","01:17:10,859","Of course, because you took that Black guy and you made him a sympathetic character.",KUNSTLER
"01:17:18,900","01:17:23,192",to suggest that I have discriminated against a Black man.,JUDGE HOFFMAN
"01:17:23,275","01:17:25,192",Then let the record show that I am the second.,WEINGLASS
"01:17:43,942","01:17:48,109",I'm issuing an order declaring a mistrial as to the defendant Bobby G. Seale.,JUDGE HOFFMAN
"01:17:57,817","01:18:02,692","Mr. Seale, you are currently charged with 16 counts of contempt",JUDGE HOFFMAN
"01:18:02,775","01:18:05,775","for your repeated displays of disrespect,",JUDGE HOFFMAN
"01:18:55,400","01:18:57,484","Conspiracy Office, how can I help you?",BERNADINE
"01:19:09,192","01:19:12,859","Yeah, I've slept with several in my life so far, and on balance,",BERNADINE
"01:19:12,942","01:19:14,484",I'd have to say it is better.,BERNADINE
"01:19:14,567","01:19:16,942",I think that's a big part of what's got you worked up.,BERNADINE
"01:19:17,942","01:19:20,609",It's not so much that it's bigger. It's just better.,BERNADINE
"01:19:20,692","01:19:21,692",Hang up the phone.,WEINGLASS
"01:19:20,692","01:19:21,692",Hang up the phone.,TOM
"01:19:24,109","01:19:26,025",Was that a parting gift for Bobby?,WEINGLASS
"01:19:27,067","01:19:29,609",No. That was just for me.,BERNADINE
"01:19:43,067","01:19:45,234",Why the fuck did you stand up?,JERRY
"01:19:45,984","01:19:46,859",It was a reflex.,TOM
"01:19:46,942","01:19:48,734",He was respecting the institution.,RENNIE
"01:19:48,817","01:19:52,900","I don't know what good it does to insult the judge in view of the jury, the press,",TOM
"01:19:56,442","01:19:59,775","It's a revolution, Tom. We may have to hurt somebody's feelings.",ABBIE
"01:20:06,484","01:20:09,942","Maybe Monday morning, we could read the names into the record",RENNIE
"01:20:10,025","01:20:11,150",as a way of saying--,RENNIE
"01:20:10,025","01:20:11,150",as a way of saying--,TOM
"01:20:11,234","01:20:12,067",Saying what?,DELUCA
"01:20:12,150","01:20:16,442","That whatever we're facing, you know, it's peanuts compared to what--",RENNIE
"01:20:22,734","01:20:26,109","No, we were arrested... The law doesn't recognize political trials.",TOM
"01:20:32,109","01:20:35,567","Lee, John, have you guys asked yourselves what you're doing here?",ABBIE
"01:20:35,650","01:20:36,484",Every day.,WEINER
"01:20:36,567","01:20:38,067",You're a give-back.,ABBIE
"01:20:38,150","01:20:40,692",They give the jury a couple of guys they can acquit,ABBIE
"01:20:40,775","01:20:43,567",so they feel better about finding the rest of us guilty.,ABBIE
"01:20:46,567","01:20:48,359","Lenny, am I wrong?",ABBIE
"01:20:50,650","01:20:54,650","Wait, so our role in history is that we made it easier to convict our friends?",FROINES
"01:20:54,734","01:20:57,525",They're gonna find us guilty if they just don't like you.,ABBIE
"01:21:00,067","01:21:02,650",I can take the stand. I'm easier for them to like.,DAVE
"01:21:10,942","01:21:13,275",You're a conscientious objector.,KUNSTLER
"01:21:13,359","01:21:15,234",A lot of people are conscientious objectors.,DAVE
"01:21:47,650","01:21:50,359","Outgoing cabinet members are supposed to resign,",RENNIE
"01:21:50,442","01:21:53,234",but Ramsey Clark didn't tender his resignation till--,RENNIE
"01:21:53,317","01:21:55,359",I read Mitchell had a fit about that.,JERRY
"01:22:00,942","01:22:03,067",He was never even on our witness list.,KUNSTLER
"01:22:03,150","01:22:04,150",Who?,TOM
"01:22:04,234","01:22:08,817",- The first witness you put on the stand-- - If this was a political trial...,KUNSTLER
"01:22:11,484","01:22:13,775",I need my office to find Ramsey Clark.,KUNSTLER
"01:22:14,525","01:22:17,275",And William Kunstler just showed up.,ABBIE
"01:22:32,400","01:22:33,400",Len.,BOBBY
"01:22:32,400","01:22:33,400",Len.,KUNSTLER
"01:22:38,275","01:22:41,400","Maybe... I don't know, does he have a Secret Service detail?",WEINGLASS
"01:22:41,484","01:22:44,525","Nah, they're here for us.",KUNSTLER
"01:22:50,150","01:22:52,442",He was the attorney general. What do we do?,KUNSTLER
"01:23:04,900","01:23:08,109","Good morning, I'm Bill Kunstler. Mr. Clark is expecting us.",KUNSTLER
"01:23:08,192","01:23:09,192",Come in.,JANE
"01:23:19,984","01:23:22,150",He's in his study at the end of the hall.,JANE
"01:23:24,067","01:23:26,359","I tell you what, ma'am. That sounds great.",KUNSTLER
"01:23:26,442","01:23:27,775",Nothing for me. Thank you.,WEINGLASS
"01:23:28,609","01:23:30,192",At the end of the hall.,JANE
"01:23:33,525","01:23:36,734",I read in the paper you were the only one who stood for the judge,JANE
"01:23:40,109","01:23:43,484","Uh, that was a mistake. It was just a reflex.",TOM
"01:23:43,567","01:23:44,567",Tom?,SCHULTZ
"01:23:55,734","01:23:56,734","Hey, Bill.",ABBIE
"01:23:58,400","01:23:59,567",Ramsey Clark.,CLARK
"01:24:00,442","01:24:01,775","Pleased to meet you, sir.",SCHULTZ
"01:24:00,442","01:24:01,775","Pleased to meet you, sir.",KUNSTLER
"01:24:07,650","01:24:09,192","Oh, I know who Tom Hayden is.",CLARK
"01:24:12,775","01:24:16,317","Those two men, they're senior deputies with the Justice Department.",CLARK
"01:24:19,150","01:24:22,067",- I don't know why these men are here. - I invited them.,KUNSTLER
"01:24:22,650","01:24:23,525",You invited them?,CLARK
"01:24:22,650","01:24:23,525",You invited them?,KUNSTLER
"01:24:23,609","01:24:26,150",I don't want the appearance of impropriety.,CLARK
"01:24:26,234","01:24:27,734",There isn't any impropriety.,KUNSTLER
"01:24:27,817","01:24:30,025",And now there are witnesses to that.,CLARK
"01:24:30,109","01:24:34,859","Sir, these men are gonna call Schultz and Foran as soon as we're done.",KUNSTLER
"01:24:34,942","01:24:38,234",Don't be ridiculous. They already called Schultz and Foran.,CLARK
"01:24:38,317","01:24:41,484",And they're gonna call John Mitchell as soon as we're done here.,CLARK
"01:24:42,109","01:24:43,775","Go ahead, ask what you wanna ask.",CLARK
"01:24:45,067","01:24:47,400",- In front of them? - Yeah.,KUNSTLER
"01:24:53,192","01:24:57,359","Mr. Clark, while you were attorney general for President Johnson",KUNSTLER
"01:24:57,442","01:24:59,609",was there ever any discussion with the White House,KUNSTLER
"01:24:59,692","01:25:01,859",about seeking indictments against my clients?,KUNSTLER
"01:25:01,942","01:25:03,775",- He can't answer that. - Why not?,HOWARD
"01:25:03,859","01:25:04,859",It's against the law.,HOWARD
"01:25:04,942","01:25:08,025",That's an overly broad interpretation of the law.,WEINGLASS
"01:25:10,067","01:25:12,275","We've dealt with jury tampering, wiretapping,",KUNSTLER
"01:25:12,359","01:25:14,525","a defendant that was literally gagged,",KUNSTLER
"01:25:17,359","01:25:19,609",that would be considered wrong in Honduras.,KUNSTLER
"01:25:19,692","01:25:23,900",So I'm a little less interested in the law than I was when this trial began.,KUNSTLER
"01:25:23,984","01:25:29,359","Well, whether you like the law or not, as former AG, he is protected by it.",HOWARD
"01:25:32,150","01:25:34,817","And with respect, sir, I can subpoena you.",KUNSTLER
"01:25:34,900","01:25:37,734",Find a judge in this circuit who will sign that subpoena.,HOWARD
"01:25:37,817","01:25:41,567",He's right. And taking the stand voluntarily would be a big risk for me.,CLARK
"01:25:43,984","01:25:47,359",my clients take a much bigger risk when they...,KUNSTLER
"01:25:54,650","01:25:57,067",I'm sorry. What took me so long to do what?,KUNSTLER
"01:25:57,150","01:25:59,109",To realize I'm your star witness.,CLARK
"01:26:02,025","01:26:04,692",- We were remarking upon that ourselves-- - Bill...,KUNSTLER
"01:26:04,775","01:26:05,984",He can't testify.,HOWARD
"01:26:08,525","01:26:11,192","And if John Mitchell wants to cut me in half,",CLARK
"01:26:11,275","01:26:12,900",he can and he will.,WEINGLASS
"01:26:15,734","01:26:17,900","Sir, you have to find some courage now...",TOM
"01:26:19,192","01:26:21,942",- And-- - Find some courage? Yeah.,CLARK
"01:26:22,025","01:26:24,692",Yes. You have to find some courage and--,TOM
"01:26:24,775","01:26:25,775",Tom.,HOWARD
"01:26:24,775","01:26:25,775",Tom.,WEINGLASS
"01:26:29,567","01:26:32,025","That's what those two men came to tell me,",CLARK
"01:26:32,109","01:26:36,067","that if John Mitchell wants to cut me in half, he can and he will.",CLARK
"01:26:41,692","01:26:43,025","""When do you want me in court?""",CLARK
"01:26:45,817","01:26:46,942",Mr. Clark?,HOWARD
"01:26:49,109","01:26:50,442","Swear me in, Bill.",CLARK
"01:26:50,525","01:26:54,984","It is against the law for you to testify, Ramsey. It is as simple as that.",HOWARD
"01:26:55,775","01:26:57,067",It's General Clark.,CLARK
"01:26:57,775","01:26:59,942",And arrest me or shut the fuck up.,CLARK
"01:27:08,484","01:27:11,025","Your Honor, the People move to disallow this witness.",SCHULTZ
"01:27:14,150","01:27:16,109",Code of federal regulations mandates,SCHULTZ
"01:27:18,567","01:27:21,609","is prohibited without prior knowledge of the attorney general,",SCHULTZ
"01:27:21,692","01:27:24,650","plainly meaning the sitting attorney general,",SCHULTZ
"01:27:24,734","01:27:27,567","who is John Mitchell, who has denied his approval.",SCHULTZ
"01:27:27,650","01:27:32,525","Judge, the rule refers only to very specific documents and information.",WEINGLASS
"01:27:32,609","01:27:36,317","If the regulation were interpreted as Mr. Schultz is asking it to be,",WEINGLASS
"01:27:36,400","01:27:38,234",nobody in the federal government,WEINGLASS
"01:27:38,317","01:27:41,734",could ever testify in any trial after they left their job.,WEINGLASS
"01:27:43,859","01:27:46,567",I think the government is at least justified,JUDGE HOFFMAN
"01:27:46,650","01:27:50,150","in asking the defense to demonstrate, by voir dire,",JUDGE HOFFMAN
"01:27:50,234","01:27:53,067",the testimony it expects to elicit from the witness.,JUDGE HOFFMAN
"01:27:53,150","01:27:56,900","You'd like us to question the witness, this witness,",KUNSTLER
"01:27:59,900","01:28:04,400","If I find any of the testimony relevant, I'll call the jury back in to hear it.",JUDGE HOFFMAN
"01:28:10,442","01:28:12,734",Defense calls Ramsey Clark.,CLARK
"01:28:10,442","01:28:12,734",Defense calls Ramsey Clark.,KUNSTLER
"01:28:10,442","01:28:12,734",Defense calls Ramsey Clark.,KUNSTLER
"01:28:25,817","01:28:26,900",State your name.,BAILIFF
"01:28:30,692","01:28:33,234","will be the truth, the whole truth and nothing but the truth?",BAILIFF
"01:28:37,275","01:28:42,692","Mr. Clark, what was your occupation in the summer of 1968?",KUNSTLER
"01:28:42,775","01:28:45,150",I was the attorney general of the United States.,CLARK
"01:28:45,234","01:28:47,775",- You were appointed by President Johnson? - Yes.,KUNSTLER
"01:29:34,859","01:29:36,109","Excuse me, sir?",JUDGE HOFFMAN
"01:29:36,692","01:29:39,734",The president isn't a client of the attorney general.,CLARK
"01:29:44,359","01:29:47,817",Hearing from the witness on this point is highly irregular.,SCHULTZ
"01:29:55,817","01:29:59,484","But the witness is the former, uh...",JUDGE HOFFMAN
"01:29:59,567","01:30:03,150","He's just stated his willingness, you know,",JUDGE HOFFMAN
"01:30:03,234","01:30:07,275","so, for the purposes of voir dire, I'll hear the answer.",JUDGE HOFFMAN
"01:30:16,400","01:30:19,984",The president asked me if I intended to seek any indictments,CLARK
"01:30:24,400","01:30:25,900",And what did you tell him?,KUNSTLER
"01:30:25,984","01:30:28,567",I told him we wouldn't be seeking indictments.,CLARK
"01:30:28,650","01:30:30,192",And can you tell us why?,KUNSTLER
"01:30:30,275","01:30:34,692",An investigation by our criminal division led to the conclusion,CLARK
"01:31:17,067","01:31:18,609",and the sitting attorney general.,KUNSTLER
"01:31:23,317","01:31:24,150",Mr. Kunstler.,JUDGE HOFFMAN
"01:31:40,234","01:31:42,275","the one that matters, came to a new conclusion.",SCHULTZ
"01:31:42,359","01:31:46,150","Therefore, motivation of the prosecution has to be called into question.",KUNSTLER
"01:31:46,234","01:31:49,734",The motivation of the prosecution is not an issue in a courtroom.,SCHULTZ
"01:31:49,817","01:31:53,734","In any courtroom I've ever been in, except this one.",KUNSTLER
"01:31:57,525","01:32:01,567","that will demonstrate that this witness will make a material contribution,",JUDGE HOFFMAN
"01:32:10,234","01:32:13,442",You're not gonna let the jury hear his testimony.,RENNIE
"01:32:10,234","01:32:13,442",You're not gonna let the jury hear his testimony.,KUNSTLER
"01:32:16,109","01:32:18,817","which you have not thus far done, that this witness--",JUDGE HOFFMAN
"01:32:18,900","01:32:22,025",- Are you any good? - Are you addressing the court reporter?,JUDGE HOFFMAN
"01:32:23,650","01:32:25,359",Is this prosecution politically motivated?,KUNSTLER
"01:32:27,025","01:32:29,109",President Nixon inherited an unpopular war.,KUNSTLER
"01:32:29,192","01:32:30,442","- Yes. - Step down, Mr. Clark.",JUDGE HOFFMAN
"01:32:30,525","01:32:32,859",And your clients make it more unpopular every day.,CLARK
"01:32:32,942","01:32:37,609","This administration is paranoid about the SDS, the Mobe, the New Left...",KUNSTLER
"01:32:40,359","01:32:44,775","Please, sir. I will be forced to find you in contempt.",JUDGE HOFFMAN
"01:32:49,234","01:32:50,234","I do, Your Honor.",KUNSTLER
"01:32:49,234","01:32:50,234","I do, Your Honor.",CLARK
"01:32:56,275","01:32:57,442","Thank you, sir.",SCHULTZ
"01:32:56,275","01:32:57,442","Thank you, sir.",KUNSTLER
"01:33:18,525","01:33:21,234","Your Honor, when the jury returns,",KUNSTLER
"01:33:22,400","01:33:26,234",will they be informed that the defense had called,KUNSTLER
"01:33:29,484","01:33:33,234",but this court ruled that he couldn't testify?,KUNSTLER
"01:33:34,025","01:33:36,234","No, that motion will be denied.",JUDGE HOFFMAN
"01:33:56,025","01:33:59,567",Cite Mr. Kunstler with his third count of contempt.,JUDGE HOFFMAN
"01:34:05,859","01:34:07,109",You're a thug.,DAVE
"01:34:07,192","01:34:09,400",Did one of the defendants speak?,JUDGE HOFFMAN
"01:34:09,484","01:34:13,275","I did. I said you're a thug, because you are.",DAVE
"01:34:13,359","01:34:15,109","- Dave. - Please sit, Mr. Dellinger.",JUDGE HOFFMAN
"01:34:17,734","01:34:19,359","Marshals, seat the defendant.",JUDGE HOFFMAN
"01:34:19,442","01:34:22,734","If we're guilty, which you have clearly decided--",DAVE
"01:34:32,984","01:34:34,942","If we're guilty, why not give us a trial?",DAVE
"01:34:32,984","01:34:34,942","If we're guilty, why not give us a trial?",DAVE
"01:34:35,025","01:34:38,525","I mean, I have sat here for six months and watched you!",DAVE
"01:34:38,609","01:34:40,942",You don't need to grab my arm.,DAVE
"01:35:08,025","01:35:09,067",I'm sorry.,DAVE
"01:35:49,567","01:35:52,275","Tomorrow, we go into court and get ourselves arrested.",JERRY
"01:35:53,192","01:35:54,525",We're already arrested.,TOM
"01:35:55,234","01:35:57,525",Is Bill talking to you about taking the stand?,JERRY
"01:35:58,150","01:36:01,025",The press guys are saying Bill's been talking to you about it.,JERRY
"01:36:01,109","01:36:02,442",He's been talking about it.,TOM
"01:36:02,525","01:36:05,817",He thinks you might get the crowd worked up with a position paper?,JERRY
"01:36:05,900","01:36:09,400",Maybe he thinks I won't try to get the crowd worked up at all.,TOM
"01:36:09,984","01:36:13,650",Maybe he thinks there are jurors who relied on the safety of the police,TOM
"01:36:13,734","01:36:15,900","and are put off when someone calls them pigs,",TOM
"01:36:15,984","01:36:18,400",or maybe he wants a witness who dresses like a grown man.,TOM
"01:36:18,484","01:36:24,025",The cops in this city in the summer of 1968 were pigs.,JERRY
"01:36:24,609","01:36:26,734",I wonder how many of them had kids in Vietnam.,TOM
"01:36:28,609","01:36:30,442","He's gonna take the stand, not you?",JERRY
"01:36:33,900","01:36:34,734",Abbie?,JERRY
"01:36:34,817","01:36:37,692","What did you mean, the last thing I want is to end the war?",ABBIE
"01:36:53,609","01:36:54,942",What did you mean by that?,DAVE
"01:36:57,567","01:36:58,650",Yeah...,JERRY
"01:36:57,567","01:36:58,650",Yeah...,WEINGLASS
"01:37:44,400","01:37:48,484","Equality, justice, education, poverty and progress, they're second?",ABBIE
"01:37:58,817","01:38:01,400","Okay, so, uh, Jerry was talking about standing--",RENNIE
"01:38:04,067","01:38:05,567",We don't have any money.,ABBIE
"01:38:09,900","01:38:13,567",and it's astonishing that someone still has to explain that to you.,TOM
"01:38:09,900","01:38:13,567",and it's astonishing that someone still has to explain that to you.,ABBIE
"01:38:13,650","01:38:16,192",You're trading a cow for magic beans.,TOM
"01:38:16,275","01:38:17,859",That ended up working.,JERRY
"01:38:23,900","01:38:27,317",I can't remember what happened after that. The little boy may have gotten eaten--,JERRY
"01:38:27,400","01:38:29,109",The giant turned out to be nice.,FROINES
"01:38:31,275","01:38:33,900",It's hard to believe the seven of us weren't able to end a war.,WEINER
"01:38:33,984","01:38:35,109",Let me ask you something...,ABBIE
"01:38:35,192","01:38:36,442",You guys should shake hands.,RENNIE
"01:38:36,525","01:38:39,859",Think Chicago would've gone differently if Kennedy got the nomination?,ABBIE
"01:38:43,609","01:38:46,692","Yes, I do. I think the Irish guys would have sat down with Daley,",TOM
"01:38:47,942","01:38:49,734",- I think so too. - Yeah?,ABBIE
"01:38:49,817","01:38:51,025",That's why I was wondering.,ABBIE
"01:38:51,942","01:38:54,192",Weren't you just a little bit happy,ABBIE
"01:38:54,275","01:38:57,067",when the bullet ripped through his head?,ABBIE
