Begin,dissapear,Content,speaker
"00:18:50,900","00:18:53,650","Okay, and you remember to keep us out of prison.",TOM
"00:18:54,317","00:18:56,567",There's a lot of good advice this morning.,KUNSTLER
"00:19:05,525","00:19:10,484","Hear ye, hear ye. September 26th, 1969, ten o'clock a.m.",BAILIFF
"00:19:10,567","00:19:13,359",All persons having business before the United States District Court,BAILIFF
"00:19:19,942","00:19:22,775",God save the United States of America and this Honorable Court.,BAILIFF
"00:19:22,859","00:19:24,067",Be seated.,JUDGE HOFFMAN
"00:19:22,859","00:19:24,067",Be seated.,TOM
"00:19:26,275","00:19:29,650","Mr. Marshal, bring in our jury.",JUDGE HOFFMAN
"00:19:41,317","00:19:44,442",Let the record show that we have been joined,JUDGE HOFFMAN
"00:19:48,150","00:19:50,484","Good morning, ladies and gentlemen.",KUNSTLER
"00:19:52,650","00:19:55,734","Mrs. Winter, please call the case.",JUDGE HOFFMAN
"00:19:58,817","00:20:03,359","United States of America vs. David Dellinger,",MRS. WINTER
"00:20:03,442","00:20:06,525","Rennard C. Davis, Thomas Hayden,",MRS. WINTER
"00:20:06,609","00:20:09,775","Abbott Hoffman, Jerry C. Rubin,",SCHULTZ
"00:20:06,609","00:20:09,775","Abbott Hoffman, Jerry C. Rubin,",MRS. WINTER
"00:20:09,859","00:20:15,609","Lee Weiner, John R. Froines and Bobby G. Seale for trial.",MRS. WINTER
"00:20:15,692","00:20:18,025",Are the People ready to make opening arguments?,JUDGE HOFFMAN
"00:20:18,109","00:20:19,109","We are, Your Honor.",SCHULTZ
"00:20:19,150","00:20:22,359",- I don't have my lawyer here. - It's not your turn to speak.,BOBBY
"00:20:22,442","00:20:24,234",My trial's begun without my lawyer.,BOBBY
"00:20:24,317","00:20:26,817",Please sit.,JUDGE HOFFMAN
"00:20:38,609","00:20:41,609",I'm an assistant US attorney for the Southern District of Illinois.,SCHULTZ
"00:20:41,692","00:20:44,567","Seated at my table is my boss, US Attorney Thomas Foran.",SCHULTZ
"00:20:50,984","00:20:54,442","represented by their lawyers William Kunstler, Leonard Weinglass.",SCHULTZ
"00:21:04,067","00:21:07,192",I'd like to clarify something for the jurors.,JUDGE HOFFMAN
"00:21:07,275","00:21:10,025",There are two Hoffmans in this courtroom.,JUDGE HOFFMAN
"00:21:10,109","00:21:14,775","The defendant Abbie Hoffman and myself, Judge Julius Hoffman.",JUDGE HOFFMAN
"00:21:16,650","00:21:19,150",I didn't want there to be confusion on the matter.,JUDGE HOFFMAN
"00:21:19,234","00:21:21,484","Man, I don't think they're gonna mix us up.",ABBIE
"00:21:25,900","00:21:28,817",and you will not address this court until...,JUDGE HOFFMAN
"00:21:28,900","00:21:30,650",You will not address this court!,JUDGE HOFFMAN
"00:21:28,900","00:21:30,650",You will not address this court!,JUDGE HOFFMAN
"00:21:33,275","00:21:36,234",The defendants would tell you they represent three different groups.,SCHULTZ
"00:21:33,275","00:21:36,234",The defendants would tell you they represent three different groups.,SCHULTZ
